kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
聴,1416,耳,17,S,,listen,チョウ,chō,き-く,ki-ku,u8074,u8074.svg,,
懲,1417,心,18,S,,penal,チョウ,chō,こ-りる、こ-らす、こ-らしめる,"ko-riru, ko-rasu, ko-rashimeru",u61f2,u61f2.svg,,
直,1418,目,8,2,,straight,チョク、ジキ,"choku, jiki",ただ-ちに、なお-す、なお-る,"tada-chini, nao-su, nao-ru",u76f4,u76f4.svg,,
勅,1419,力,9,S,,imperial order,チョク,choku,,,u52c5,u52c5.svg,,
捗,1420,手,10,S,2010,make progress,チョク,choku,,,u6357,u6357.svg,,
沈,1421,水,7,S,,sink,チン,chin,しず-む、しず-める,"shizu-mu, shizu-meru",u6c88,u6c88.svg,,
珍,1422,玉,9,S,,rare,チン,chin,めずら-しい,mezura-shii,u73cd,u73cd.svg,,
朕,1423,月,10,S,,majestic plural,チン,chin,,,u6715,u6715.svg,,
陳,1424,阜,11,S,,exhibit,チン,chin,,,u9673,u9673.svg,,
賃,1425,貝,13,6,,fare,チン,chin,,,u8cc3,u8cc3.svg,,
鎮,1426,金,18,S,,tranquilize,チン,chin,しず-める、しず-まる,"shizu-meru, shizu-maru",u93ae,u93ae.svg,,
追,1427,辵,9,3,,follow,ツイ,tsui,お-う,o-u,u8ffd,u8ffd.svg,,
椎,1428,木,12,S,2010,oak,ツイ,tsui,,,u690e,u690e.svg,,
墜,1429,土,15,S,,crash,ツイ,tsui,,,u589c,u589c.svg,,
通,1430,辵,10,2,,pass through,ツウ、（ツ）,"tsū, (tsu)",とお-る、とお-す、かよ-う,"too-ru, too-su, kayo-u",u901a,u901a.svg,,
痛,1431,疒,12,6,,pain,ツウ,tsū,いた-い、いた-む、いた-める,"ita-i, ita-mu, ita-meru",u75db,u75db.svg,,
塚,1432,土,12,S,1981,hillock,,,つか,tsuka,u585a,u585a.svg,,
漬,1433,水,14,S,1981,pickling,,,つ-ける、つ-かる,"tsu-keru, tsu-karu",u6f2c,u6f2c.svg,,
坪,1434,土,8,S,,two-mat area,,,つぼ,tsubo,u576a,u576a.svg,,
爪,1435,爪,4,S,2010,claw,,,つめ、（つま）,"tsume, (tsuma)",u722a,u722a.svg,,
鶴,1436,鳥,21,S,2010,crane,,,つる,tsuru,u9db4,u9db4.svg,,
低,1437,人,7,4,,low,テイ,tei,ひく-い、ひく-める、ひく-まる,"hiku-i, hiku-meru, hiku-maru",u4f4e,u4f4e.svg,,
呈,1438,口,7,S,,display,テイ,tei,,,u5448,u5448.svg,,
廷,1439,廴,7,S,,courts,テイ,tei,,,u5ef7,u5ef7.svg,,
弟,1440,弓,7,2,,younger brother,テイ、（ダイ）、（デ）,"tei, (dai), (de)",おとうと,otōto,u5f1f,u5f1f.svg,,
定,1441,宀,8,3,,decide,テイ、ジョウ,"tei, jō",さだ-める、さだ-まる、さだ-か,"sada-meru, sada-maru, sada-ka",u5b9a,u5b9a.svg,,
底,1442,广,8,4,,bottom,テイ,tei,そこ,soko,u5e95,u5e95.svg,,
抵,1443,手,8,S,,resist,テイ,tei,,,u62b5,u62b5.svg,,
邸,1444,邑,8,S,,residence,テイ,tei,,,u90b8,u90b8.svg,,
亭,1445,亠,9,S,1981,pavilion,テイ,tei,,,u4ead,u4ead.svg,,
貞,1446,貝,9,S,,upright,テイ,tei,,,u8c9e,u8c9e.svg,,
帝,1447,巾,9,S,,sovereign,テイ,tei,,,u5e1d,u5e1d.svg,,
訂,1448,言,9,S,,revise,テイ,tei,,,u8a02,u8a02.svg,,
庭,1449,广,10,3,,garden,テイ,tei,にわ,niwa,u5ead,u5ead.svg,,
逓,1450,辵,10,S,,relay,テイ,tei,,,u9013,u9013.svg,,
停,1451,人,11,5,,halt,テイ,tei,,,u505c,u505c.svg,,
偵,1452,人,11,S,1981,spy,テイ,tei,,,u5075,u5075.svg,,
堤,1453,土,12,S,,dike,テイ,tei,つつみ,tsutsumi,u5824,u5824.svg,,
提,1454,手,12,5,,present,テイ,tei,さ-げる,sa-geru,u63d0,u63d0.svg,,
程,1455,禾,12,5,,extent,テイ,tei,ほど,hodo,u7a0b,u7a0b.svg,,
艇,1456,舟,13,S,,rowboat,テイ,tei,,,u8247,u8247.svg,,
締,1457,糸,15,S,,tighten,テイ,tei,し-まる、し-める,"shi-maru, shi-meru",u7de0,u7de0.svg,,
諦,1458,言,16,S,2010,abandon,テイ,tei,あきら-める,akira-meru,u8ae6,u8ae6.svg,,
泥,1459,水,8,S,1981,mud,デイ,dei,どろ,doro,u6ce5,u6ce5.svg,,
的,1460,白,8,4,,target,テキ,teki,まと,mato,u7684,u7684.svg,,
笛,1461,竹,11,3,,flute,テキ,teki,ふえ,fue,u7b1b,u7b1b.svg,,
摘,1462,手,14,S,,pinch,テキ,teki,つ-む,tsu-mu,u6458,u6458.svg,,
滴,1463,水,14,S,,drip,テキ,teki,しずく、したた-る,"shizuku, shitata-ru",u6ef4,u6ef4.svg,,
適,1464,辵,14,5,,suitable,テキ,teki,,,u9069,u9069.svg,,
敵,1465,攴,15,6,,enemy,テキ,teki,かたき,kataki,u6575,u6575.svg,,
溺,1466,水,13,S,2010,drown,デキ,deki,おぼ-れる,obo-reru,u6eba,u6eba.svg,,
迭,1467,辵,8,S,,transfer,テツ,tetsu,,,u8fed,u8fed.svg,,
哲,1468,口,10,S,,philosophy,テツ,tetsu,,,u54f2,u54f2.svg,,
鉄,1469,金,13,3,,iron,テツ,tetsu,,,u9244,u9244.svg,,
徹,1470,彳,15,S,,penetrate,テツ,tetsu,,,u5fb9,u5fb9.svg,,
撤,1471,手,15,S,,remove,テツ,tetsu,,,u64a4,u64a4.svg,,
天,1472,大,4,1,,heaven,テン,ten,あめ、（あま）,"ame, (ama)",u5929,u5929.svg,,
典,1473,八,8,4,,code,テン,ten,,,u5178,u5178.svg,,
店,1474,广,8,2,,shop,テン,ten,みせ,mise,u5e97,u5e97.svg,,
点,1475,黑,9,2,,point,テン,ten,,,u70b9,u70b9.svg,,
展,1476,尸,10,6,,expand,テン,ten,,,u5c55,u5c55.svg,,
添,1477,水,11,S,,annexed,テン,ten,そ-える、そ-う,"so-eru, so-u",u6dfb,u6dfb.svg,,
転,1478,車,11,3,,revolve,テン,ten,ころ-がる、ころ-げる、ころ-がす、ころ-ぶ,"koro-garu, koro-geru, koro-gasu, koro-bu",u8ee2,u8ee2.svg,,
塡,1479,土,13,S,2010,fill in,テン,ten,,,u5861,u5861.svg,,
田,1480,田,5,1,,rice paddy,デン,den,た,ta,u7530,u7530.svg,,
伝,1481,人,6,4,,transmit,デン,den,つた-わる、つた-える、つた-う,"tsuta-waru, tsuta-eru, tsuta-u",u4f1d,u4f1d.svg,,
