kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
憂,1983,心,15,S,melancholy,ユウ,うれ-える、うれ-い、う-い
融,1984,虫,16,S,dissolve,ユウ,
優,1985,人,17,6,superior,ユウ,やさ-しい、すぐ-れる
与,1986,臼,3,S,give,ヨ,あた-える
予,1987,豕,4,3,in advance,ヨ,
余,1988,食,7,5,leave over,ヨ,あま-る、あま-す
誉,1989,言,13,S,reputation,ヨ,ほま-れ
預,1990,頁,13,6,deposit,ヨ,あず-ける、あず-かる
幼,1991,幺,5,6,infancy,ヨウ,おさな-い
用,1992,用,5,2,use,ヨウ,もち-いる
羊,1993,羊,6,3,sheep,ヨウ,ひつじ
妖,1994,女,7,S,bewitching,ヨウ,あや-しい
洋,1995,水,9,3,ocean,ヨウ,
要,1996,襾,9,4,need,ヨウ,かなめ、い-る
容,1997,宀,10,5,contain,ヨウ,
庸,1998,广,11,S,commonplace,ヨウ,
揚,1999,手,12,S,hoist,ヨウ,あ-げる、あ-がる
揺,2000,手,12,S,swing,ヨウ,ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる
葉,2001,艸,12,3,leaf,ヨウ,は
陽,2002,阜,12,3,sunshine,ヨウ,
溶,2003,水,13,S,melt,ヨウ,と-ける、と-かす、と-く
腰,2004,肉,13,S,loins,ヨウ,こし
様,2005,木,14,3,formal title,ヨウ,さま
瘍,2006,疒,14,S,boil (medical),ヨウ,
踊,2007,足,14,S,jump,ヨウ,おど-る、おど-り
窯,2008,穴,15,S,kiln,ヨウ,かま
養,2009,食,15,4,foster,ヨウ,やしな-う
擁,2010,手,16,S,embrace,ヨウ,
謡,2011,言,16,S,noh chanting,ヨウ,うたい、うた-う
曜,2012,日,18,2,day of the week,ヨウ,
抑,2013,手,7,S,repress,ヨク,おさ-える
沃,2014,水,7,S,fertility,ヨク,
浴,2015,水,10,4,bathe,ヨク,あ-びる、あ-びせる
欲,2016,欠,11,6,longing,ヨク,ほっ-する、ほ-しい
翌,2017,羽,11,6,the following,ヨク,
